latitude,longitude,iso_time,dist2land
16.1,-26.9,2017-08-30 00:00:00 UTC,1020
16.1478,-27.5925,2017-08-30 03:00:00 UTC,1094
16.2,-28.3,2017-08-30 06:00:00 UTC,1169
16.2575,-29.0224,2017-08-30 09:00:00 UTC,1245
16.3,-29.7,2017-08-30 12:00:00 UTC,1319
16.3058,-30.2809,2017-08-30 15:00:00 UTC,1383
16.3,-30.8,2017-08-30 18:00:00 UTC,1436
16.2923,-31.2725,2017-08-30 21:00:00 UTC,1489
16.3,-31.7,2017-08-31 00:00:00 UTC,1532
16.3273,-32.1001,2017-08-31 03:00:00 UTC,1574
16.4,-32.5,2017-08-31 06:00:00 UTC,1618
16.5275,-32.95,2017-08-31 09:00:00 UTC,1661
16.7,-33.4,2017-08-31 12:00:00 UTC,1716
16.8923,-33.8001,2017-08-31 15:00:00 UTC,1761
17.1,-34.2,2017-08-31 18:00:00 UTC,1805
17.2999,-34.6351,2017-08-31 21:00:00 UTC,1850
17.5,-35.1,2017-09-01 00:00:00 UTC,1906
17.6923,-35.5777,2017-09-01 03:00:00 UTC,1961
17.9,-36.1,2017-09-01 06:00:00 UTC,2016
18.1499,-36.685,2017-09-01 09:00:00 UTC,2075
18.4,-37.3,2017-09-01 12:00:00 UTC,2131
18.6148,-37.9001,2017-09-01 15:00:00 UTC,2164
18.8,-38.5,2017-09-01 18:00:00 UTC,2138
18.9797,-39.085,2017-09-01 21:00:00 UTC,2113
19.1,-39.7,2017-09-02 00:00:00 UTC,2081
19.1373,-40.3776,2017-09-02 03:00:00 UTC,2036
19.1,-41.1,2017-09-02 06:00:00 UTC,1993
19.0148,-41.8426,2017-09-02 09:00:00 UTC,1939
18.9,-42.6,2017-09-02 12:00:00 UTC,1879
18.7998,-43.3574,2017-09-02 15:00:00 UTC,1821
18.7,-44.1,2017-09-02 18:00:00 UTC,1771
18.6073,-44.8223,2017-09-02 21:00:00 UTC,1723
18.5,-45.5,2017-09-03 00:00:00 UTC,1677
18.3572,-46.1149,2017-09-03 03:00:00 UTC,1637
18.2,-46.7,2017-09-03 06:00:00 UTC,1589
18.0497,-47.2924,2017-09-03 09:00:00 UTC,1542
17.9,-47.9,2017-09-03 12:00:00 UTC,1508
17.7499,-48.5499,2017-09-03 15:00:00 UTC,1459
17.6,-49.2,2017-09-03 18:00:00 UTC,1418
17.4498,-49.8149,2017-09-03 21:00:00 UTC,1373
17.3,-50.4,2017-09-04 00:00:00 UTC,1341
17.1423,-50.9575,2017-09-04 03:00:00 UTC,1295
17.0,-51.5,2017-09-04 06:00:00 UTC,1244
16.8847,-52.0349,2017-09-04 09:00:00 UTC,1194
16.8,-52.6,2017-09-04 12:00:00 UTC,1135
16.7425,-53.2424,2017-09-04 15:00:00 UTC,1077
16.7,-53.9,2017-09-04 18:00:00 UTC,1019
16.6422,-54.5,2017-09-04 21:00:00 UTC,964
16.6,-55.1,2017-09-05 00:00:00 UTC,918
16.5848,-55.735,2017-09-05 03:00:00 UTC,874
16.6,-56.4,2017-09-05 06:00:00 UTC,826
16.6348,-57.0925,2017-09-05 09:00:00 UTC,783
16.7,-57.8,2017-09-05 12:00:00 UTC,755
16.7773,-58.5002,2017-09-05 15:00:00 UTC,734
16.9,-59.2,2017-09-05 18:00:00 UTC,694
17.0836,-59.9113,2017-09-05 21:00:00 UTC,616
17.3,-60.6,2017-09-06 00:00:00 UTC,539
17.5699,-61.0606,2017-09-06 03:00:00 UTC,480
17.7,-61.8,2017-09-06 05:45:00 UTC,405
17.7,-61.9,2017-09-06 06:00:00 UTC,395
17.9325,-62.66,2017-09-06 09:00:00 UTC,308
18.1,-63.1,2017-09-06 11:15:00 UTC,264
18.1,-63.3,2017-09-06 12:00:00 UTC,243
18.3454,-64.0629,2017-09-06 15:00:00 UTC,158
18.5,-64.4,2017-09-06 16:30:00 UTC,127
18.6,-64.7,2017-09-06 18:00:00 UTC,97
18.8814,-65.4186,2017-09-06 21:00:00 UTC,59
19.2,-66.2,2017-09-07 00:00:00 UTC,89
19.4571,-66.9078,2017-09-07 03:00:00 UTC,123
19.7,-67.6,2017-09-07 06:00:00 UTC,143
19.9497,-68.3002,2017-09-07 09:00:00 UTC,122
20.2,-69.0,2017-09-07 12:00:00 UTC,105
20.4572,-69.7001,2017-09-07 15:00:00 UTC,105
20.7,-70.4,2017-09-07 18:00:00 UTC,102
20.9004,-71.0971,2017-09-07 21:00:00 UTC,123
21.1,-71.8,2017-09-08 00:00:00 UTC,124
21.3937,-72.5466,2017-09-08 03:00:00 UTC,56
21.5,-73.0,2017-09-08 05:00:00 UTC,33
21.5,-73.2,2017-09-08 06:00:00 UTC,33
21.6157,-73.9212,2017-09-08 09:00:00 UTC,59
21.8,-74.7,2017-09-08 12:00:00 UTC,129
21.9146,-75.3726,2017-09-08 15:00:00 UTC,102
22.0,-76.0,2017-09-08 18:00:00 UTC,91
22.0257,-76.5868,2017-09-08 21:00:00 UTC,61
22.1,-77.2,2017-09-09 00:00:00 UTC,44
22.3,-77.9,2017-09-09 03:00:00 UTC,35
22.4,-78.3,2017-09-09 06:00:00 UTC,15
22.533,-78.7864,2017-09-09 09:00:00 UTC,22
22.7,-79.3,2017-09-09 12:00:00 UTC,23
22.8999,-79.7724,2017-09-09 15:00:00 UTC,15
23.1,-80.2,2017-09-09 18:00:00 UTC,22
23.2574,-80.5876,2017-09-09 21:00:00 UTC,33
23.4,-80.9,2017-09-10 00:00:00 UTC,44
23.5124,-81.1377,2017-09-10 03:00:00 UTC,49
23.7,-81.3,2017-09-10 06:00:00 UTC,67
24.016,-81.4389,2017-09-10 09:00:00 UTC,101
24.5,-81.5,2017-09-10 12:00:00 UTC,78
24.7,-81.5,2017-09-10 13:00:00 UTC,60
25.0646,-81.5707,2017-09-10 15:00:00 UTC,41
25.6,-81.7,2017-09-10 18:00:00 UTC,33
25.9,-81.7,2017-09-10 19:30:00 UTC,0
26.1945,-81.6865,2017-09-10 21:00:00 UTC,0
26.8,-81.7,2017-09-11 00:00:00 UTC,0
27.4828,-81.9063,2017-09-11 03:00:00 UTC,0
28.2,-82.2,2017-09-11 06:00:00 UTC,0
28.9073,-82.4282,2017-09-11 09:00:00 UTC,0
29.6,-82.7,2017-09-11 12:00:00 UTC,0
30.28,-83.07,2017-09-11 15:00:00 UTC,0
30.9,-83.5,2017-09-11 18:00:00 UTC,0
31.4221,-83.921,2017-09-11 21:00:00 UTC,0
31.9,-84.4,2017-09-12 00:00:00 UTC,0
32.4074,-84.9703,2017-09-12 03:00:00 UTC,0
32.9,-85.6,2017-09-12 06:00:00 UTC,0
33.3499,-86.2508,2017-09-12 09:00:00 UTC,0
33.8,-86.9,2017-09-12 12:00:00 UTC,0
34.3075,-87.5374,2017-09-12 15:00:00 UTC,0
34.8,-88.1,2017-09-12 18:00:00 UTC,0
35.2296,-88.5457,2017-09-12 21:00:00 UTC,0
35.6,-88.9,2017-09-13 00:00:00 UTC,0
35.9148,-89.2156,2017-09-13 03:00:00 UTC,0
36.2,-89.5,2017-09-13 06:00:00 UTC,0
36.4952,-89.7943,2017-09-13 09:00:00 UTC,0
36.8,-90.1,2017-09-13 12:00:00 UTC,0
